,tenure,MonthlyCharge,DummyTechie,DummyGender,DummyTechSupport
4953,19.39483,172.4624,0,0,0
1654,14.5222363,200.132293,0,0,0
2353,1.482474,159.9476,0,1,0
690,23.02862012,114.965789,0,0,0
8196,60.81814,245.132,1,0,1
9468,54.74318,265.147,1,1,1
4525,10.07469,147.4564,0,1,0
5162,46.28759,194.9663,0,1,0
5858,69.29855,192.4885,1,0,1
4030,1.115115,169.9378,0,0,0
5615,60.5779,129.9915,0,1,0
6392,67.32753,275.1198,0,0,1
9644,52.60822,162.4653,0,1,0
5413,54.50776,172.4579,0,0,0
602,5.822867455,197.628838,0,0,0
1818,3.024806192,137.483594,0,1,0
5546,60.9767,124.9781,0,1,0
2791,14.63647,267.6647,1,0,1
6852,70.62716,207.6094,0,0,0
730,7.004427474,162.482694,0,0,0
3480,18.08688,147.4601,0,0,1
8069,71.09348,129.9483,0,1,1
4252,9.022068,214.9525,0,0,1
2754,10.44767,162.4653,0,1,0
257,2.416685985,142.500692,0,1,1
7096,55.93837,114.9509,0,0,0
2180,1.900671,124.9781,0,0,0
6542,69.76806,132.466,0,0,1
2569,3.765838,137.4686,0,0,0
6517,64.02167,242.6326,0,0,0
7623,56.41476,194.9581,0,0,0
4463,6.403708,225.1457,0,1,0
133,9.743201772,252.637807,0,1,0
869,3.11643578,179.947583,0,1,0
4753,6.971587,207.6094,0,1,0
2997,10.24306,162.4818,0,0,0
9479,61.29211,149.9483,0,1,1
4187,2.980706,182.447,1,0,1
5184,53.96248,137.4684,0,1,0
6434,65.62921,79.97886,0,0,0
5337,66.59235,204.9797,0,0,1
5066,42.74672,245.147,0,0,1
9803,63.4564,152.4579,0,1,0
7537,70.62749,212.6415,0,1,1
4066,3.245848,159.9805,1,1,1
883,14.04985628,154.991856,1,0,1
8692,51.98225,182.4608,0,1,0
2324,19.75809,104.9643,0,0,1
7820,64.58418,169.9378,0,0,0
2241,1.198203,169.9378,0,0,0
3348,1.822794,210.1518,0,1,0
5747,52.51777,235.1417,0,1,1
5290,48.80775,147.4893,0,1,1
6235,55.20546,262.6106,0,1,0
6474,60.6238,127.4738,1,0,0
5936,71.16283,192.4404,0,0,0
5642,64.91322,172.4555,0,1,0
9283,59.36904,127.4958,1,0,0
6942,52.27007,140.0342,1,1,1
1052,7.25493599,270.160419,0,0,1
2970,6.842584,139.9512,0,0,1
9653,64.25108,147.4564,1,0,0
2381,7.749595,129.9598,1,0,0
9385,50.27926,127.4601,0,0,1
6748,55.91669,149.9378,1,0,0
1104,15.40849216,214.952509,0,0,1
42,3.924254455,255.141716,0,1,1
3359,1.034561,127.4958,0,1,0
4615,12.04581,240.1149,0,1,0
9382,64.81224,114.9509,0,0,0
9609,54.12547,187.656,0,1,0
6633,37.11912,92.5018,0,0,0
2291,24.42176,162.4526,0,0,0
9941,71.67689,92.48802,0,1,1
4480,11.30633,149.9621,0,0,0
6691,48.90424,129.9763,1,1,0
7177,56.87027,220.1323,0,0,0
6990,70.44382,225.1457,1,1,0
6033,69.026,187.6094,0,1,0
4238,10.99657,162.4653,0,0,0
2343,1.835282,222.6792,0,0,0
1758,2.066037377,232.641455,0,1,1
5091,63.24314,137.4684,0,1,0
9316,70.05743,222.65,0,1,0
3290,6.207517,242.6281,0,0,0
974,1.591333405,240.114868,0,0,0
437,5.505247606,245.174977,0,0,0
5850,53.75074,202.6362,0,0,1
3401,7.831837,127.4586,0,0,0
8550,52.69236,112.4551,0,0,0
785,9.294088005,129.99153,0,1,0
1086,8.92504512,202.682861,1,0,1
7622,67.76809,114.9728,0,0,0
8751,62.71718,242.6281,0,1,0
6695,57.50229,105.011,0,0,1
7515,62.68348,117.5152,0,1,0
503,4.806882153,242.628057,0,0,0
2387,14.76922,204.9634,0,0,0
5575,64.41881,242.6143,0,1,1
3281,5.207616,207.6094,0,0,0
3543,13.08183,220.1323,0,0,0
6039,42.10529,124.9643,0,0,1
7729,66.63268,184.9853,0,0,0
713,5.759571228,277.63748,0,1,1
5073,66.50929,134.9509,0,1,0
8639,52.27228,237.6549,0,1,1
6834,62.5664,187.4811,0,0,0
197,5.874064017,139.965008,0,1,0
5079,61.98982,194.9699,0,1,1
801,4.612099351,222.632554,0,1,0
9536,67.6308,187.656,0,1,0
3508,8.187262,169.9928,0,1,1
7343,60.11026,220.1478,0,0,1
8951,65.38222,144.9607,0,0,0
8089,68.22138,152.5022,0,0,0
4966,19.34604,184.961,1,1,0
3143,2.408011,139.965,0,1,0
7640,50.43597,149.9845,0,0,0
4197,14.10279,204.9797,0,1,1
8900,56.32657,232.652,0,1,0
8307,55.67421,167.4564,0,1,0
2019,5.111408,192.4567,0,1,1
7801,63.94696,207.6386,1,0,0
7970,69.63521,172.5104,1,0,1
8888,66.35321,187.4673,0,0,1
3189,21.12911,255.1336,0,0,0
9877,67.3665,124.9643,0,1,1
1095,7.172070851,144.988941,1,0,1
9423,62.08608,242.6573,0,0,0
2414,15.98627,230.1051,1,1,0
6518,47.32828,194.9581,0,1,0
6614,65.57158,179.9476,0,1,0
5024,56.30647,240.1149,0,0,0
7768,68.67008,152.4624,0,0,0
4607,24.69325,92.45514,0,1,0
5006,69.33909,117.4686,1,1,0
354,14.12966281,222.660939,0,1,1
32,4.727388465,230.105118,0,0,0
6458,69.21008,204.9797,0,0,1
377,4.258552081,139.987503,0,1,1
5645,71.3084,117.472,0,0,1
1564,2.916144419,162.460772,0,1,0
9820,62.96706,159.9512,0,1,1
1701,4.759938908,194.974431,0,1,1
5158,68.76541,242.6326,0,1,0
6224,60.43351,202.65,0,1,0
3300,4.459961,127.5112,1,1,1
8470,60.04717,147.4421,0,1,0
4612,1.921112,159.9875,0,1,1
9352,49.69121,174.9755,0,0,0
5148,58.89846,129.9621,0,1,0
5667,52.14985,129.9621,0,0,0
3147,9.075014,152.4798,0,1,0
1474,2.38395716,222.628057,0,1,0
6532,69.91537,222.6326,0,1,0
5077,59.61465,242.6106,0,0,0
4294,18.601,235.1884,0,1,1
2637,23.9038,137.4836,0,0,0
9424,59.20792,142.4827,0,0,0
2522,3.840589,159.9656,1,0,1
9284,68.98754,147.4564,0,0,0
7558,62.23239,92.45514,0,0,0
2482,20.87424,117.4392,1,0,0
6049,67.57419,154.9618,0,0,1
8523,48.70941,207.6094,1,1,0
2118,11.53174,174.9768,1,1,1
2302,2.65459,202.4433,0,0,0
7184,47.95497,184.9715,0,1,1
1572,3.098560266,182.460772,1,1,0
7585,71.76063,162.4538,0,0,1
5028,64.71488,197.4876,0,1,1
4157,3.850863,114.9658,1,0,0
1488,7.413563684,182.443347,0,0,0
8266,58.28008,265.1283,0,1,0
7041,55.54569,92.45514,0,0,0
6231,45.16619,212.6415,0,1,1
7165,66.68874,144.9607,0,1,0
1186,5.873359501,127.442069,0,0,0
3082,2.168042,159.9476,1,1,0
9491,42.74753,212.6228,0,1,0
6889,53.84369,159.9512,0,1,1
7386,53.90815,104.9643,0,1,1
2013,3.081551,169.9378,0,1,0
434,3.508974199,192.470522,0,1,0
9892,66.82584,245.147,1,1,1
3573,12.90094,152.4555,0,0,0
2590,12.173,149.9447,0,1,0
5478,59.27489,152.4798,0,1,0
8695,50.77278,137.4978,0,0,0
5159,71.34414,104.9643,0,1,1
781,9.715065141,262.610632,0,0,0
5629,54.2897,162.5119,0,0,0
6468,60.88203,197.6288,0,0,0
6823,43.28044,92.45514,0,1,0
838,9.073819276,139.979239,0,0,0
786,12.96208301,129.99153,0,0,0
2025,4.773251,232.6378,0,1,0
1724,23.10105854,154.975543,1,1,0
5403,56.716,159.9656,0,0,1
33,20.89923386,174.958118,0,1,0
5310,64.13229,210.1051,0,1,0
4767,2.006646,252.6378,1,1,0
352,10.9750814,192.456745,0,1,1
3308,4.95874,252.624,0,0,1
9440,42.47836,265.1283,0,1,0
6629,71.27703,152.4624,0,1,0
4846,4.212653,147.4421,0,1,0
6283,68.22903,144.9607,0,0,0
1336,8.571860106,104.97808,0,0,0
2161,7.117565,117.4686,0,0,0
5034,64.9788,212.6415,0,1,1
6482,70.85122,129.9778,1,0,1
9351,70.81829,275.1336,0,0,0
5430,67.39149,197.6288,0,1,0
2943,10.91353,159.983,0,0,1
9643,49.4719,182.49,0,1,0
5630,60.15898,174.9755,0,1,0
5067,64.09564,287.6427,0,0,1
4056,6.811035,82.49655,0,0,0
2823,3.852241,149.989,0,0,0
6012,63.31259,127.4783,0,1,0
646,6.357562637,152.510442,1,1,1
6781,67.5234,217.484,0,1,0
2151,6.03955,124.9781,0,1,0
7991,63.20163,162.4608,0,0,0
2254,6.791156,179.9476,0,0,0
5300,68.53091,112.4844,0,1,0
3917,4.629362,194.9992,0,0,1
5510,63.96491,174.9768,0,1,1
9721,71.68601,172.4441,0,0,1
2009,2.175619,139.965,0,1,0
7615,57.63584,152.4798,1,0,0
3819,2.110607,104.9629,0,1,0
6009,64.81359,220.1149,0,1,0
9817,57.58191,129.9621,0,0,0
7720,54.16378,245.1283,0,0,0
3296,9.244926,184.967,1,0,1
5566,61.22216,117.4835,0,0,0
9856,64.8854,104.9643,0,1,1
3002,5.519258,225.1786,0,1,1
4616,1.574932,149.9913,0,1,0
9807,70.52617,144.9607,0,1,0
5292,64.56659,149.9707,0,0,1
7655,58.40109,255.1198,0,0,1
1365,5.682066541,172.47417,0,0,1
5760,62.75224,107.4958,0,1,0
2463,17.84058,140.0013,0,1,0
2631,1.84687,137.4872,0,0,1
375,2.527681829,165.018175,0,1,1
3598,8.642257,255.1555,0,0,0
3497,4.565947,104.9923,0,0,0
8411,60.16674,220.1185,0,1,1
6657,48.26544,134.9509,0,0,0
9005,67.11209,127.4738,0,0,0
5511,62.11401,184.967,1,1,1
160,2.600063739,162.482694,0,0,0
2012,8.433722,172.4579,0,0,0
52,5.486534225,149.962093,0,0,0
8897,65.12124,174.9755,0,1,0
449,1.715329149,169.992756,0,0,1
3436,11.64763,172.4567,0,1,1
3461,7.621099,194.9768,0,0,1
6752,56.43742,184.9853,0,0,0
4164,8.596278,184.9496,0,1,1
9518,67.10378,182.49,1,1,0
8459,46.66033,104.9781,1,0,0
3956,9.312768,92.48802,0,1,1
495,8.573785357,220.132293,0,0,0
773,3.990895779,134.950905,0,1,0
4856,5.124495,192.4705,0,1,0
479,4.957713222,230.105118,0,1,0
7048,64.43912,107.4806,0,0,0
5250,46.23768,182.4676,0,1,0
6198,63.08784,152.4952,0,1,1
9121,59.26713,179.9476,0,1,0
2282,9.557096,157.4698,0,1,1
6337,63.63312,192.4567,0,1,1
4917,4.614124,197.6288,0,0,0
9326,64.05063,147.4421,0,0,0
9629,63.01465,119.9897,0,0,1
6281,70.03292,169.9741,0,1,0
5818,67.90183,252.6378,0,1,0
9342,70.46581,232.6415,0,1,1
3283,14.66848,147.4421,0,0,0
4551,11.42464,197.5169,0,0,1
678,6.999864982,134.980139,0,1,0
5452,42.31228,192.4404,0,0,0
1508,11.70414173,144.960655,0,1,0
4034,25.43027,124.9781,1,0,0
1666,13.79138076,127.442069,0,1,0
3399,5.996824,252.6378,1,0,0
1220,8.886360176,172.456745,0,0,1
6301,60.59761,149.9778,0,1,1
4581,7.812114,177.6508,0,1,0
3188,5.714934,182.4433,0,0,0
631,19.17821675,207.609354,0,1,0
6865,68.36063,214.9525,0,1,1
1817,9.984220981,102.474625,0,1,0
3411,9.29979,179.9794,0,0,0
3050,21.13934,232.6707,0,0,1
4106,11.75829,245.132,0,1,1
8876,59.47229,159.983,0,0,1
5942,67.71178,114.9728,0,0,0
5880,71.80429,137.4686,0,1,0
6335,60.07014,195.0062,0,0,1
8911,52.20049,92.45514,0,1,0
6927,68.06711,182.4433,0,1,0
9997,47.41689,169.9741,0,0,0
7472,46.91449,149.989,0,1,0
3545,10.78369,159.9512,0,1,1
7321,66.99456,202.65,0,0,0
6238,62.50904,112.4551,0,0,0
6882,68.08911,257.6375,1,1,1
834,6.28842083,169.944668,0,1,0
1910,10.91916339,197.494455,0,1,1
6170,63.67919,127.4601,0,0,1
7258,61.82628,204.9496,0,1,1
2136,2.465822,242.6326,0,0,0
8476,50.40492,162.5299,0,0,1
6925,58.76836,127.4783,0,1,0
8844,62.89177,197.6288,0,1,0
5710,60.37442,172.4705,0,1,0
9232,61.52908,184.9939,1,0,1
859,2.284207057,172.455519,0,0,0
174,7.34059599,147.473844,0,1,0
1962,9.878308737,162.460772,0,1,0
1741,8.482460246,152.455519,0,0,0
507,13.04542381,112.455141,0,0,0
2196,4.418468,137.4836,1,1,0
4768,10.62816,187.6094,0,0,0
4000,1.669639,194.9744,0,0,1
5014,71.66705,152.4555,0,0,0
2280,4.582941,219.9902,0,1,1
2405,1.813049,192.4404,0,1,0
4664,2.284566,130.0064,1,1,0
7480,56.08228,159.9349,0,0,0
5096,55.34066,127.482,0,1,1
2342,1.135161,220.1323,0,0,0
6388,64.31881,207.4673,0,1,1
6595,56.46532,119.9568,1,1,0
928,5.425068599,275.133571,0,1,0
9947,57.62812,82.49655,0,0,0
3017,14.26274,114.9658,0,1,0
7221,59.94749,172.4848,0,0,0
7210,71.79034,179.9476,1,0,0
1224,18.42609229,147.442069,0,0,0
7621,70.82444,164.9715,0,0,1
676,9.75910234,127.511223,0,0,1
9176,67.35833,275.1336,0,1,0
5848,71.39166,187.6094,0,1,0
1028,9.539729035,182.460772,0,0,0
8058,66.1916,149.9483,0,0,1
3007,22.54598,149.9915,0,0,0
3424,9.39804,204.9797,0,0,1
8960,70.69188,172.4624,0,0,0
7838,65.31873,222.65,0,0,0
6943,71.15704,187.6094,0,1,0
3341,4.672744,174.9768,0,1,1
9142,59.84973,277.6375,0,1,1
8505,48.60336,212.6228,0,1,0
6792,51.01884,147.4713,0,1,0
6026,70.6626,220.1478,0,1,1
564,1.375013189,134.950905,0,1,0
2130,29.35795,277.6375,0,1,1
6051,62.09662,162.4608,0,0,0
4074,14.87243,174.9581,0,0,0
1395,3.469955007,242.628057,0,0,0
3350,8.399966,184.9785,0,0,0
4606,2.347884,187.4847,0,0,1
1779,23.68987753,202.649979,1,1,0
8256,52.87464,182.447,0,1,1
2004,7.976237,242.6326,0,0,0
1552,2.965166415,139.95684,0,1,0
7065,71.34241,207.4974,0,0,1
2420,10.55912,127.482,0,0,1
1406,9.331730104,132.466002,0,1,1
9106,67.97714,117.4686,0,1,0
158,19.95277818,252.637807,0,1,0
8314,60.70855,149.9483,0,0,1
5740,60.32779,137.4872,1,1,1
5280,63.93531,159.965,0,1,0
2950,7.513611,149.9707,0,0,1
5328,54.3819,147.4783,0,0,0
9944,59.85298,172.4742,0,1,1
6597,70.83916,129.9483,0,0,1
6693,64.33211,117.4835,0,1,0
4455,8.867984,197.4876,1,0,1
7902,67.58811,222.65,0,0,0
4121,17.25428,159.9942,0,0,0
7759,48.89289,212.6228,0,1,0
7458,61.46682,92.5018,0,0,0
741,15.70393958,220.118516,0,0,1
8329,53.47075,92.5018,0,0,0
2419,9.119628,152.4884,0,0,1
1421,3.295993837,217.472533,0,0,1
1070,2.205915318,164.985293,0,0,0
259,6.549035393,232.62403,0,0,1
2239,3.020801,129.995,0,1,1
6816,60.06677,247.6647,0,0,1
9907,44.54138,159.965,0,0,0
4110,4.120579,162.4676,0,0,0
824,5.691421867,154.975543,0,0,0
6525,55.62195,127.4887,1,0,0
2998,11.65333,139.983,0,0,1
4547,6.214398,174.9699,0,1,1
6071,57.38041,207.4974,0,0,1
2203,4.029419,137.4836,0,0,0
5727,50.42623,172.4579,0,1,0
8773,49.20691,139.9568,1,0,0
4439,4.849803,182.4833,0,1,1
5456,69.51253,162.447,0,0,1
2549,2.476217,147.4783,1,0,0
3991,1.399445,159.9794,0,0,0
9837,61.8401,134.9509,0,0,0
5565,68.03309,222.6792,0,1,0
7898,67.2599,117.4392,1,1,0
3694,2.240146,187.656,1,0,0
6715,61.51143,127.4601,0,1,1
1898,34.80793399,152.457857,0,0,0
1621,11.30820237,160.01224,0,1,1
9209,64.17032,162.4526,0,0,0
2936,32.97693,149.9621,1,0,0
416,6.417132666,127.460067,0,0,1
997,9.618627021,152.509013,0,1,0
349,3.365552603,134.950905,0,1,0
6929,66.39976,107.5286,0,0,1
6107,64.54916,214.9663,0,0,0
4107,3.346632,92.45514,0,1,0
8185,70.03794,137.4872,0,0,1
6757,47.83726,184.9715,0,0,1
8352,52.53037,169.9447,0,0,0
1088,18.73450543,190.12704,0,1,0
9630,64.00501,124.9643,0,1,1
3408,14.17544,149.9776,0,1,1
5571,71.79134,162.4689,0,0,1
6514,39.65071,114.9509,0,0,0
9797,45.44227,182.4538,0,0,1
7968,54.23761,139.9678,1,1,1
4891,5.778279,125.0073,0,1,0
4943,3.595204,232.6228,0,0,0
8532,64.9377,149.9447,0,0,0
3509,19.42268,179.9476,0,1,0
4211,3.921335,184.9496,1,0,1
3745,15.49078,174.9581,0,0,0
7685,64.26648,229.9931,1,0,1
1683,15.34839938,277.651257,0,1,0
2802,8.081086,242.6281,1,1,0
3207,6.678303,162.497,1,1,0
139,11.71637124,174.976769,1,0,1
8056,60.58684,127.4586,0,1,0
9500,70.41272,172.4441,0,0,1
5415,66.04097,222.6362,0,0,1
4092,9.062033,172.4624,1,1,0
5637,56.79909,149.9913,1,0,0
1293,4.269258862,174.975543,0,1,0
3531,14.70766,127.4421,0,1,0
2734,13.81356,147.4421,0,1,0
38,9.847563364,184.964681,0,0,1
9488,58.86292,212.6557,0,0,1
4761,5.73926,184.9785,0,1,0
7034,70.04427,220.1185,0,1,1
3553,14.74415,207.6094,0,0,0
6955,43.84471,152.4907,0,0,1
4088,7.128376,129.9598,0,0,0
5263,65.61044,149.9845,0,0,0
3539,9.543016,167.4564,0,1,0
9517,54.89306,230.1051,0,0,0
5422,53.17302,79.97886,0,0,0
2567,1.280324,139.9568,0,1,0
6219,62.8196,172.4848,0,1,0
4996,7.989206,197.5169,0,1,1
9417,56.14325,220.1185,0,1,1
3123,1.598975,204.961,0,1,0
939,1.276890621,139.965008,0,0,0
6530,58.12363,182.4676,0,1,0
8909,43.5663,142.4713,0,0,1
227,9.004964377,127.473844,0,0,0
1789,3.312263064,159.951231,0,0,1
6265,56.64842,147.4564,0,1,0
2213,2.707119,187.5139,0,1,1
5393,49.48328,164.967,0,0,1
9448,66.57294,137.5165,0,0,1
253,4.135827839,159.965581,0,1,1
2676,2.237975,139.9678,0,0,1
9602,58.59926,197.4725,0,0,1
8152,44.59709,137.4392,0,1,0
1194,9.764790968,169.992756,0,0,1
8602,42.76683,104.9643,1,1,1
8144,53.19577,182.49,0,0,0
9548,47.9937,172.4441,0,1,1
8813,57.60401,137.4686,0,0,0
2756,3.122125,149.9915,1,0,0
3607,6.391286,220.1323,0,0,0
324,11.74635394,190.12704,0,0,0
4475,8.902965,159.9476,0,1,0
1452,6.585140105,120.003499,0,1,0
4102,7.032789,220.1615,0,0,0
2807,3.890319,149.9928,0,0,1
2278,5.63873,159.965,0,0,0
4246,1.741247,172.4404,0,0,0
6995,70.8043,202.4433,0,0,0
3711,11.70321,119.9568,0,1,0
1865,15.18780416,137.439154,0,1,0
4467,2.426747,222.6326,0,1,0
1451,9.07813252,124.993537,0,0,1
1702,2.758173633,124.97808,0,0,0
3614,1.364515,149.9447,0,1,0
9780,64.67959,242.6573,1,0,0
1793,1.921647847,230.105118,0,1,0
5811,44.89823,194.9768,0,0,1
5462,70.4859,119.9568,0,1,0
314,7.661226872,92.488023,0,0,1
5319,50.66574,194.9744,0,0,1
9473,53.44438,275.1198,0,0,1
5277,68.95234,172.4705,0,1,0
4423,15.22417,172.5034,0,1,1
3150,10.16083,137.4836,0,0,0
9436,41.84938,184.9647,0,0,1
7546,70.19371,232.652,0,0,0
844,6.588311936,149.977753,0,1,1
6886,66.52106,182.447,1,0,1
3033,13.98482,275.1336,1,1,0
2085,17.08264,149.9447,0,1,0
5626,70.56358,177.4876,0,0,1
6669,56.08175,184.961,0,1,0
617,5.770302149,182.490006,0,0,0
3310,6.365101,187.656,0,1,0
9703,67.94252,169.9928,0,1,1
6920,55.18855,149.9621,0,0,0
8981,70.26887,179.9476,0,0,0
2879,11.52687,149.9776,0,1,1
4193,3.479316,200.1185,0,1,1
9870,54.02641,114.9728,1,1,0
9793,62.25655,114.9728,0,0,0
8898,67.89973,172.4624,0,0,0
8010,69.22361,127.4421,1,0,0
5961,61.77794,212.6228,0,0,0
9054,66.42219,242.6435,0,0,1
4937,12.27603,114.9838,0,1,1
512,1.542556879,225.145743,0,1,0
7119,60.45093,142.5007,0,0,1
7855,65.45503,112.4844,0,0,0
4813,29.58658,114.9509,0,0,0
124,7.992791229,149.991327,0,0,0
1068,9.690818661,199.990219,0,0,1
7076,64.7835,204.9496,0,0,1
8728,55.74501,177.4876,0,0,1
9246,50.79108,147.4713,0,1,0
5953,56.53361,114.9509,1,1,0
472,4.135515169,117.485813,0,1,0
9063,60.8833,222.6362,0,1,1
7470,51.83967,194.9699,0,0,1
8581,62.27601,147.4601,0,1,1
6776,60.17878,192.4885,0,1,1
980,14.02849733,230.105118,0,0,0
8110,68.55021,137.4616,0,0,0
1562,2.427380647,142.499263,0,1,0
4390,1.925345,194.9663,1,1,0
292,9.640061615,197.470195,0,0,1
9888,63.19406,235.1884,0,0,1
589,3.113737885,92.488023,0,0,1
5520,62.85596,232.6378,0,1,0
4537,14.0669,192.4567,0,1,1
2699,10.55294,169.9741,0,1,0
3090,4.24454,107.4958,0,1,0
5356,52.83276,92.45514,0,0,0
4024,15.19686,159.9794,0,1,0
977,3.857300987,154.975543,0,1,0
5674,57.50673,125.0073,1,1,0
5731,65.95332,142.4713,0,1,1
189,7.007695148,142.482694,0,0,0
3013,9.539097,255.1336,0,0,0
4371,14.34892,255.1555,1,1,0
8232,46.2718,169.9378,0,0,0
2840,15.33274,232.6228,0,0,0
4883,3.4187,182.447,0,1,1
5617,55.31656,245.132,0,0,1
9836,47.03744,174.9768,0,1,1
9855,62.91268,174.9919,1,0,1
2042,11.71454,277.6513,0,1,0
8789,50.49273,127.4601,0,0,1
9627,62.12984,197.5169,0,0,1
4715,9.260977,114.9728,0,1,0
3506,3.986525,114.9728,0,1,0
2507,17.82124,119.9568,1,1,0
4595,6.905799,182.4608,0,0,0
945,14.63294721,172.44408,1,0,1
5182,66.13511,127.4421,0,0,0
7763,66.80803,192.4567,0,0,1
2162,6.575242,159.9349,0,0,0
1424,16.96762986,149.977753,0,1,1
720,2.904448825,129.962093,1,0,0
5767,61.74103,149.9621,0,1,0
3670,5.115763,117.5152,0,1,0
6798,54.47785,129.9621,0,1,0
