,population,children,age,income,outage_sec_perweek,email,contacts,Yearly_equip_failure,tenure,MonthlyCharge,DummyTechie,DummyTechSupport,DummyMale,DummyFemale,DummyNonbinary
4080,475,3,22,37622.41,12.27167,10,0,1,12.57306,194.9768,0,1,1,0,0
9234,25220,7,47,33241.87,6.093676,14,0,0,66.03306,232.624,0,1,0,1,0
1472,5803,3,51,90956.64,2.737931836,13,0,0,13.23888382,162.500489,0,1,0,1,0
2552,8189,1,63,45016.56,10.94745,10,2,0,7.990345,222.6143,0,1,1,0,0
2191,24682,0,22,36224.99,10.34418,13,0,0,7.109947,107.482,0,1,1,0,0
9603,110,1,27,91852.43,7.576322,13,1,0,51.23358,129.9621,0,0,0,1,0
6816,3192,0,61,15700.75,10.27416,10,1,0,60.06677,247.6647,0,1,0,1,0
1882,2705,4,37,14638.17,9.713763237,13,2,0,2.497790261,172.470522,0,0,1,0,0
8420,220,1,77,42679.8,6.950896,13,0,0,54.06613,242.6326,0,0,0,1,0
3459,4518,0,42,69335.71,5.619559,12,0,0,7.732188,207.4974,0,1,0,1,0
8230,135,2,71,69232.25,3.624683,10,0,0,61.28236,220.1185,0,1,0,1,0
2000,1547,3,44,74915.44,10.27858,13,0,0,10.50826,242.6573,0,0,1,0,0
8252,145,0,48,18498.45,7.815757,12,2,0,48.56433,194.9525,0,1,1,0,0
0,38,0,68,28561.99,7.978322947,10,0,1,6.795512947,172.455519,0,0,1,0,0
1533,3224,3,58,44086.35,7.943538816,8,1,0,14.92730216,222.665436,1,1,1,0,0
4455,1585,1,75,25130.75,7.739914,12,0,0,8.867984,197.4876,1,1,0,1,0
1283,290,3,19,25446.01,8.414092289,10,0,1,3.418302206,207.609354,0,0,0,1,0
1458,8660,0,39,33945.2,6.608008759,13,0,0,6.203299256,134.950905,0,0,0,1,0
4567,240,2,85,7543.45,15.41425,12,2,1,2.804449,172.4733,0,1,0,1,0
9517,1215,0,54,26701.99,8.275925,9,0,0,54.89306,230.1051,0,0,0,1,0
5876,7565,4,88,17400.04,5.274699,16,1,1,61.00152,229.9931,1,1,0,1,0
6242,8859,2,21,14377.81,12.25637,10,0,0,63.32675,252.6378,1,0,0,1,0
2026,0,1,44,61142.96,9.643592,15,2,0,4.510318,137.4836,0,0,1,0,0
3349,931,0,20,14937.87,5.663947,9,0,0,15.45104,104.9643,0,1,0,1,0
1155,24147,3,33,53862.8,2.944771091,13,1,0,10.39427126,192.470522,0,0,0,1,0
4350,14305,1,68,45125.98,6.895659,10,0,1,5.402848,215.1591,0,1,0,1,0
4291,20631,2,35,17995.63,14.8479,14,0,1,6.602711,200.1185,1,1,1,0,0
3534,6989,6,37,1109.71,13.24338,12,0,0,17.35639,174.9744,0,1,1,0,0
1446,193,0,24,39373.92,4.817687941,6,2,0,9.605264775,160.00128,0,0,0,1,0
8760,31251,3,86,9539.84,3.62071,12,0,1,36.28161,275.1198,0,1,0,1,0
8022,2981,5,78,49914.94,6.40204,20,1,1,52.66362,119.9897,0,1,0,1,0
4910,95,3,34,33533.36,10.01287,10,0,1,9.696166,247.6647,0,1,1,0,0
5467,533,1,85,36987.9,14.85701,9,0,0,48.20538,105.011,0,1,0,1,0
8866,1619,1,82,45362.56,5.011995,7,1,0,42.02106,117.5152,0,0,1,0,0
3017,615,1,75,23086.45,7.483489,13,0,0,14.26274,114.9658,0,0,1,0,0
7446,18532,1,75,71117.01,12.01013,9,1,1,41.4761,137.4872,0,1,0,1,0
9971,631,1,30,40327.0,9.398203,8,1,1,59.14016,137.4836,1,0,0,1,0
5747,11677,3,49,51058.06,5.379363,12,1,1,52.51777,235.1417,0,1,1,0,0
7612,227,2,82,11807.8,14.60834,8,2,0,51.40304,162.447,0,1,0,1,0
9972,25258,1,53,35415.05,9.041816,14,4,0,60.00232,144.9889,0,1,0,1,0
5538,4351,0,79,38096.62,9.709458,6,2,0,66.17528,117.4835,0,0,1,0,0
228,12275,2,80,20566.64,6.915228797,10,1,0,5.071456681,232.637807,0,0,0,1,0
5350,16715,1,64,45129.46,7.787097,10,0,0,61.18595,169.9671,1,0,0,1,0
4565,26565,3,71,59242.86,7.998222,8,2,0,6.564797,257.6513,0,0,1,0,0
1484,601,0,34,49393.59,6.26674205,14,1,0,3.160392389,164.967019,1,1,0,1,0
8071,1011,5,76,42411.01,7.06386,12,1,0,50.69374,232.624,0,1,0,1,0
504,2453,2,89,44314.39,6.892345443,15,1,0,5.658327457,197.48762,0,1,1,0,0
8410,1104,6,27,74305.5,6.975482,14,0,0,48.04306,222.65,1,0,1,0,0
5431,2146,0,60,111892.6,13.33737,6,0,1,57.31946,142.4689,0,1,0,1,0
6531,19,4,22,8705.1,7.119743,13,3,3,37.5471,267.6427,1,1,1,0,0
2487,2701,0,88,27140.05,16.19038,6,1,0,12.86551,255.1198,0,1,0,1,0
4627,2816,0,57,1055.12,10.39479,12,0,1,2.241794,124.9781,0,0,1,0,0
4916,676,1,68,16717.1,16.76653,8,2,1,7.663799,172.4555,0,0,1,0,0
3954,1227,0,65,41624.04,9.651504,9,1,0,8.525122,127.4887,0,0,0,1,0
515,168,1,59,59158.79,7.514067308,15,2,0,13.17859958,175.133074,1,0,1,0,0
8390,335,8,80,25324.77,9.380632,11,1,0,61.70044,237.6549,0,1,1,0,0
5932,21997,0,73,18957.86,6.085329,18,0,2,70.16829,129.9598,0,0,0,1,0
1017,2638,6,65,38166.25,6.981877587,12,1,0,9.907505405,117.485813,0,0,0,1,0
1186,37540,2,35,101771.45,9.010061624,12,1,1,5.873359501,127.442069,0,0,0,1,0
7095,9391,1,47,29809.62,13.88548,12,1,1,64.21579,207.6386,0,0,1,0,0
9205,65335,3,80,22720.66,16.40248,16,2,0,59.22188,182.4833,0,1,0,1,0
6923,1548,0,85,77701.41,11.08445,14,0,0,68.1253,117.5015,0,1,0,1,0
6249,77,1,66,72212.97,12.70019,12,1,1,52.40318,230.1051,1,0,1,0,0
4720,2114,1,66,21810.7,10.05819,13,1,0,4.685087,217.484,0,0,0,1,0
5485,3248,6,34,15548.43,10.80098,12,0,1,62.5003,124.9607,1,0,1,0,0
9141,2952,3,18,72397.73,12.39937,8,3,0,66.80646,114.9509,0,0,0,1,0
5390,17246,0,63,8972.5,13.38781,13,3,0,59.50718,107.4806,0,0,0,1,0
5850,248,0,86,67611.32,9.049913,5,2,0,53.75074,202.6362,0,1,0,1,0
5097,952,2,62,22956.29,12.2106,11,0,1,62.61777,139.9512,0,1,1,0,0
8691,9205,0,24,30834.89,13.85041,17,1,0,70.61755,159.9794,0,0,0,1,0
3049,2593,0,38,41643.14,10.38163,12,1,0,17.29281,172.4885,0,1,0,1,0
1774,35591,1,79,49545.55,11.15775194,7,0,1,10.2452503,184.967019,0,1,1,0,0
4100,13546,2,67,39176.98,8.34145,15,1,0,11.94952,245.1457,0,0,0,1,0
8855,6553,0,34,25652.0,3.744797,11,2,0,62.5567,200.1185,0,1,1,0,0
1178,115,2,85,40133.04,14.95030399,8,3,1,6.195470215,275.119794,1,1,1,0,0
4897,25086,1,44,79358.93,5.826774,8,0,1,17.55118,114.9509,0,0,0,1,0
2433,4719,1,34,27766.98,6.35624,14,0,1,7.948145,164.9647,1,1,1,0,0
9965,825,0,35,51608.52,10.2689,9,0,1,46.87556,204.961,0,0,1,0,0
8817,2335,3,65,11955.52,8.86123,10,1,0,68.61891,162.4653,0,0,1,0,0
5367,678,0,81,73761.25,6.47772,13,0,0,53.45259,172.4705,0,0,0,1,0
5352,4444,3,76,16955.06,8.741713,13,1,1,51.28687,255.1555,0,0,0,1,0
9018,8075,0,51,95509.68,6.652008,12,1,0,64.49231,117.4392,0,0,0,1,0
8869,18540,3,36,3686.27,14.55875,10,2,1,55.64344,174.9882,0,0,1,0,0
3358,209,1,41,6034.37,10.00402,15,0,0,9.873117,235.1555,0,0,0,1,0
488,27454,3,34,47946.16,16.23914454,12,1,0,5.622660986,164.988941,0,1,0,1,0
7993,316,2,70,7172.86,8.239022,11,2,1,71.805,172.4885,1,1,1,0,0
2199,5407,9,82,30801.14,8.440102,7,2,1,4.927273,114.9509,0,0,0,0,1
6842,5548,0,73,65217.62,15.20539,8,0,1,56.3245,134.9801,1,0,0,1,0
5291,38376,4,39,33180.77,10.11142,6,1,0,50.65704,217.4702,0,1,0,1,0
165,2081,1,46,28022.56,8.996933306,11,0,1,12.63074989,159.951231,0,1,0,1,0
1202,20136,0,29,49106.35,10.24327363,14,0,0,13.3451101,92.455141,0,0,0,1,0
1009,5582,1,50,10181.73,7.843654266,10,2,0,6.524843094,124.964303,0,1,0,0,1
2256,5706,0,45,12233.26,7.309462,13,2,0,5.229738,102.4746,1,0,0,1,0
2849,6022,1,24,56243.26,9.983208,16,2,0,3.600682,207.6386,0,0,0,1,0
2895,6297,0,49,34797.6,11.76312,9,1,1,12.89076,214.9663,0,0,1,0,0
8271,5985,1,66,72870.66,13.83085,9,3,1,69.7211,174.9699,1,1,1,0,0
3273,22744,1,81,17555.47,7.096983,14,1,0,10.70349,184.9715,0,1,1,0,0
6966,631,6,28,7736.99,10.94689,12,0,0,60.96581,245.1457,0,0,0,1,0
9332,18029,3,46,82056.21,13.60832,8,3,0,37.36723,174.9919,0,1,1,0,0
7190,316,4,24,9349.55,5.569279,12,1,1,69.81507,152.4624,0,0,1,0,0
4410,73671,2,51,18970.04,6.212122,14,0,1,13.84934,169.9447,0,0,0,1,0
909,2792,0,48,12000.1,5.114025367,7,1,1,6.991642782,182.467607,1,0,0,1,0
5656,955,1,89,43120.73,11.4493,9,1,0,57.40724,220.1149,0,0,0,1,0
7218,12991,3,57,13756.92,8.452148,6,2,1,61.11248,172.4404,0,0,1,0,0
2587,1175,0,41,60239.95,6.304689,6,1,0,11.64744,162.4827,0,0,1,0,0
4505,11268,2,45,75255.33,12.69621,15,0,0,10.50995,114.9658,0,0,1,0,0
6271,2018,3,19,72149.15,3.835601,8,2,0,66.97309,127.4738,1,0,0,1,0
6604,4013,1,55,11910.62,6.449896,9,1,0,60.50578,139.9349,0,0,1,0,0
8153,737,0,86,35557.53,12.25736,10,1,0,63.30112,162.4608,0,0,0,1,0
5316,167,7,38,15693.44,5.307312,11,2,0,70.59953,187.6422,0,1,0,1,0
7572,982,5,20,6416.11,13.56589,10,0,0,57.10624,167.4564,0,0,0,1,0
549,1469,2,53,28580.25,9.431168696,10,2,0,2.519975147,149.974105,0,0,0,1,0
2300,562,1,85,7514.44,10.25643,14,1,0,5.111421,172.4555,0,0,0,0,1
8193,1238,2,80,11602.24,8.634479,14,0,0,55.72308,107.482,0,1,1,0,0
8655,1171,1,76,27144.01,10.38318,16,1,0,48.45122,92.45514,0,0,0,1,0
142,2396,3,69,50252.79,11.30748265,15,0,2,3.303030246,182.460772,0,0,1,0,0
8770,2159,10,39,51228.78,7.954615,12,0,0,64.14083,144.9607,1,0,0,1,0
1334,17055,4,30,72270.25,0.120057716,15,1,1,4.777862937,164.985293,0,0,1,0,0
1098,8013,4,88,14910.5,17.96334654,14,2,0,2.451256489,225.178625,0,1,0,1,0
5508,27946,3,81,28986.88,13.7377,8,1,0,71.44192,149.9913,1,0,0,1,0
9,20193,1,86,50231.4,8.707823904,18,1,0,3.422086139,162.482694,0,0,0,1,0
954,3137,10,57,132139.98,9.046493464,16,2,0,17.34243942,255.137219,0,1,1,0,0
5612,16545,8,19,93517.61,12.85222,13,1,0,66.00869,124.9607,0,0,1,0,0
6512,74172,3,80,146317.6,9.167299,12,2,1,62.05469,147.4564,0,0,1,0,0
3315,61,7,18,28911.74,7.731174,16,2,0,7.146126,230.1051,0,0,0,0,1
6319,718,3,82,42113.14,13.50203,13,2,2,66.65664,105.011,1,1,1,0,0
6025,18691,0,57,9136.47,6.767055,11,0,1,63.47945,222.6281,0,0,0,1,0
3461,20681,0,41,25560.03,9.696893,14,0,1,7.621099,194.9768,0,1,0,1,0
6991,25916,0,30,77120.37,8.284128,8,0,0,59.79789,160.0122,0,1,1,0,0
9594,26719,10,76,6798.07,9.222467,11,0,2,63.3179,152.4624,0,0,1,0,0
2359,17242,2,50,49782.7,3.978796,12,0,1,9.25848,147.5031,0,0,1,0,0
7515,110,4,48,25948.52,12.03137,14,0,1,62.68348,117.5152,0,0,1,0,0
2334,7786,1,55,13814.44,11.57698,13,1,0,7.88215,154.9919,0,1,1,0,0
29,52484,4,69,33442.79,10.61771118,18,1,0,5.425864884,257.651257,0,0,1,0,0
8947,80143,1,32,57567.11,10.20182,13,2,1,70.43935,275.1198,0,1,0,1,0
1337,25271,0,86,69014.19,10.58554141,15,0,0,7.195810535,220.114868,0,0,0,1,0
8065,2389,0,63,20189.82,8.383716,6,1,0,52.15024,200.1465,0,0,1,0,0
43,6699,4,32,24090.62,8.255565152,13,0,0,18.55959629,192.456745,0,1,1,0,0
342,641,0,51,45225.74,12.71107869,14,2,0,9.475983046,169.937833,1,0,0,1,0
7636,26935,0,61,6998.45,15.45232,9,1,0,62.76892,142.4526,0,0,0,1,0
3455,62382,2,74,57552.27,13.07187,8,0,2,23.08359,172.4848,0,0,1,0,0
1215,291,3,36,35105.32,13.27478996,11,1,2,7.60247544,162.468917,1,1,1,0,0
4872,2326,0,36,24084.76,6.332682,11,1,0,8.686291,162.4689,1,1,0,1,0
854,321,1,79,69238.83,8.023586737,9,3,0,8.802527803,117.468591,0,0,1,0,0
6021,1245,0,58,14611.28,12.75929,18,1,0,66.78366,167.4847,0,1,1,0,0
4618,657,2,52,99168.2,12.64257,15,0,0,9.613541,150.007,1,1,0,1,0
3393,14429,1,29,31020.23,9.604833,13,1,0,9.151527,230.1051,0,0,0,1,0
7330,139,1,37,22019.01,8.517013,13,1,0,47.2887,165.0182,0,1,1,0,0
1734,2267,0,43,78249.99,6.462473731,7,2,0,8.406444381,220.161527,0,0,0,1,0
9228,63894,4,33,13633.24,12.32894,13,1,1,67.92751,137.4698,1,1,0,1,0
2367,3929,4,40,27403.44,11.58268,18,2,0,9.38329,235.1591,0,1,0,1,0
2943,64,1,32,91022.36,15.16412,8,0,0,10.91353,159.983,0,1,0,1,0
2565,7955,1,87,17100.24,9.040639,10,0,0,9.817033,127.4887,1,0,0,1,0
3606,26061,1,87,5269.25,7.10498,13,2,0,3.962302,117.4686,1,0,0,1,0
1360,2161,0,66,41527.17,11.51565844,9,1,0,2.478012402,207.475448,0,1,1,0,0
3708,2455,3,64,61022.41,10.38191,13,1,0,5.213752,147.4601,0,1,0,1,0
5100,422,4,69,24660.29,10.76463,15,0,0,47.92804,240.1149,0,0,0,1,0
6580,3908,9,88,100224.4,11.35857,11,0,0,52.29776,149.9483,0,1,1,0,0
8757,60476,8,40,35016.3,13.10714,12,0,0,62.75391,127.4887,0,0,1,0,0
5421,12089,4,84,15431.03,13.93978,11,3,0,45.54189,194.9699,0,1,1,0,0
6680,1104,2,31,77613.57,13.88105,12,1,0,62.83586,242.6143,0,1,0,1,0
6432,165,4,43,92696.47,6.630274,9,1,1,71.77038,134.9801,0,0,0,1,0
694,0,1,20,62952.13,14.9103207,15,2,1,28.93788212,124.97808,0,0,0,1,0
4687,214,0,77,11548.26,4.170516,9,1,1,11.89464,149.9707,0,1,0,1,0
1298,4759,10,28,7619.18,12.28145524,13,2,0,12.01513041,142.452604,0,0,0,1,0
5782,3586,1,18,23570.06,5.750742,16,2,0,69.76544,127.4887,0,0,1,0,0
8773,131,1,42,26005.03,13.80292,10,2,0,49.20691,139.9568,1,0,0,1,0
3225,2656,1,71,12457.3,10.56362,12,1,0,5.902195,159.9512,0,1,0,1,0
4263,48351,0,27,70424.63,6.941126,12,0,0,9.658761,187.6422,0,1,0,1,0
7083,38406,2,86,11290.41,7.195648,14,1,2,66.85896,230.1051,0,0,0,1,0
6584,444,0,37,9355.0,11.2259,18,1,1,64.395,204.9797,0,1,0,1,0
5043,578,1,19,26249.7,8.347242,13,3,0,64.01652,255.1555,0,0,1,0,0
1292,6904,3,23,22853.63,13.96678169,13,1,0,2.447985699,147.473844,0,0,1,0,0
8389,650,2,35,17300.45,6.275178,14,2,0,56.43572,79.97886,0,0,0,0,1
8023,2986,1,33,35214.65,9.584041,9,3,1,65.09341,225.1457,0,0,1,0,0
5491,363,3,75,21198.04,15.29214,14,2,1,55.90679,252.6378,0,0,1,0,0
3807,36224,0,83,52962.98,10.77601,10,2,1,9.147346,102.4746,0,0,1,0,0
8548,6956,2,53,28702.52,10.3045,10,0,0,67.39326,174.9768,0,1,1,0,0
5255,2999,1,47,34469.78,11.85962,11,2,0,57.95857,147.4601,0,1,0,1,0
6759,3068,1,56,69249.92,10.55058,10,0,0,65.54138,222.65,1,0,1,0,0
3440,3085,3,43,5508.83,12.86713,14,0,0,4.638114,192.4705,0,0,0,1,0
10,555,7,23,22580.7,9.341631685,9,0,2,19.26726194,174.958118,0,0,0,1,0
7842,1024,2,63,15263.96,11.16648,9,2,0,71.74549,147.4783,0,0,1,0,0
7315,2696,2,21,93786.55,15.27078,10,1,1,63.7669,255.1555,0,0,1,0,0
2664,16459,3,55,77277.55,13.77913,14,0,0,10.59491,184.9647,0,1,0,1,0
4015,25048,0,36,42046.1,11.39904,11,2,0,2.866331,162.4713,0,1,1,0,0
8025,61818,4,51,33733.53,11.90247,9,0,0,66.98322,172.5104,0,1,1,0,0
6269,8109,2,56,11160.15,10.15084,8,1,0,63.73429,232.6378,0,0,1,0,0
9835,810,3,80,69312.38,7.77294,13,2,0,54.81081,107.4806,1,0,0,1,0
2083,7023,2,77,86877.95,14.83322,14,0,1,2.958575,162.4827,0,0,0,1,0
7803,15171,1,18,12435.87,12.64401,11,0,0,64.38615,127.4421,1,0,0,1,0
633,24983,0,64,67019.55,12.29322885,14,1,0,14.28414317,220.132293,1,0,0,1,0
8303,710,2,25,41467.56,7.40371,14,1,0,65.22821,210.1563,0,0,1,0,0
8999,3185,1,69,50817.75,11.02449,10,1,1,64.61898,129.9763,0,0,0,1,0
6766,30050,5,44,146958.0,14.5306,8,0,1,69.74945,184.9853,0,0,0,1,0
7410,1028,0,57,43104.69,8.639261,15,0,0,49.99506,124.9607,1,0,1,0,0
2020,7278,1,34,76063.08,9.885262,14,1,1,11.42056,117.4392,0,0,0,1,0
6784,846,0,38,20219.9,11.86714,9,1,0,53.33926,235.1372,0,1,0,1,0
7801,7958,3,85,43345.6,7.279683,11,0,0,63.94696,207.6386,1,0,0,1,0
3153,5450,3,32,52174.46,5.638287,13,0,0,7.930205,197.4725,1,1,1,0,0
1617,335,1,66,23711.3,17.11399723,12,2,0,5.136076177,255.119794,0,1,0,1,0
7030,11590,1,28,62116.37,10.79056,8,2,0,71.14976,129.9598,0,0,1,0,0
7169,890,0,84,15550.06,10.35914,11,2,1,63.20516,139.9816,0,0,0,1,0
4507,314,4,37,9447.9,10.66131,12,2,1,5.113589,129.9483,0,1,1,0,0
3384,1702,2,70,74396.6,8.955496,6,2,0,1.320603,194.9663,0,0,0,1,0
5371,87,0,70,50620.18,6.037186,14,0,1,47.99369,152.466,0,1,1,0,0
9025,1464,3,64,41097.52,12.91854,15,5,0,70.40902,232.6415,0,1,1,0,0
974,2677,1,43,22303.29,9.565152901,13,2,0,1.591333405,240.114868,0,0,0,1,0
8465,2357,2,55,22716.52,12.66535,9,0,1,71.24754,139.9979,0,1,0,1,0
7749,1079,3,37,22588.94,9.976525,13,1,0,57.22556,149.9915,0,0,0,1,0
8754,3433,1,43,37327.76,11.42906,11,1,1,56.15392,124.9643,1,1,1,0,0
6304,256,1,28,101771.0,10.85535,11,1,0,68.17349,112.4844,0,0,1,0,0
9478,4177,0,74,20882.6,10.78887,12,0,0,60.09935,119.9897,0,1,0,1,0
95,26320,0,29,24270.88,11.0596826,13,0,0,4.672610857,245.145743,0,0,0,1,0
8786,7514,2,51,28125.21,9.534548,13,2,2,51.2129,104.9629,0,0,1,0,0
264,1067,0,37,12453.24,10.00344746,14,0,1,14.96503088,225.145743,0,0,1,0,0
5339,4827,1,47,11043.16,5.371609,12,1,0,38.85837,127.4738,1,0,0,1,0
8232,20952,3,76,19546.62,9.545938,15,2,0,46.2718,169.9378,0,0,0,1,0
7854,490,2,43,42589.53,5.287479,14,1,0,58.97078,197.6288,0,0,1,0,0
1109,574,4,81,26031.22,6.884662093,15,2,1,4.611940238,159.965008,0,0,1,0,0
303,110,4,31,82131.87,9.975481565,13,1,0,3.212400569,202.443347,0,0,0,1,0
1790,9338,1,70,22812.0,8.735591454,14,2,1,6.766267697,207.638588,0,0,0,1,0
7281,21734,3,55,23381.3,10.92399,13,2,0,57.07901,127.4958,0,0,1,0,0
5849,722,1,53,30848.77,7.908414,5,1,0,63.07092,222.6362,0,1,1,0,0
7369,10728,0,29,33140.57,7.638651,8,2,0,67.87033,182.4608,0,0,0,1,0
3218,76177,3,76,22517.47,5.610881,10,3,0,9.556572,212.6228,0,0,1,0,0
9317,105,3,75,13363.47,12.54776,11,3,0,67.22133,152.4555,0,0,1,0,0
1631,1152,2,52,21000.61,8.901128259,16,1,0,8.284579203,184.971516,0,1,1,0,0
3539,26797,0,72,98660.88,9.756543,15,1,2,9.543016,167.4564,0,0,1,0,0
9672,5111,2,80,38083.17,16.71428,7,1,1,43.96321,177.6508,1,0,1,0,0
568,1715,0,84,57107.43,5.33893117,10,1,2,16.58244758,182.443347,0,0,0,1,0
8494,12695,3,84,30407.3,12.51342,17,0,0,45.34674,184.9496,0,1,0,1,0
4007,6672,1,50,27504.76,4.125868,9,1,0,2.438513,139.9678,1,1,0,1,0
1319,265,3,34,62441.01,4.87057775,13,1,2,7.771315315,187.484705,0,1,1,0,0
4940,2227,2,75,8231.55,8.741825,12,2,1,10.59224,245.1457,0,0,1,0,0
3585,0,0,36,32617.88,3.630705,10,0,0,6.394005,187.4673,0,1,0,1,0
9979,32425,4,57,12977.79,12.09846,10,0,1,58.11897,220.1149,0,0,1,0,0
2480,82,1,28,78472.21,14.54789,12,2,1,16.04377,132.466,0,1,0,0,1
692,192,0,77,53562.86,8.936042397,11,2,0,18.92157073,152.479779,0,0,0,1,0
1129,702,1,80,11252.3,17.5602198,10,3,0,9.067061096,160.01224,0,1,1,0,0
7985,442,4,30,28791.24,13.67308,11,1,0,46.076,92.5018,0,0,0,1,0
5286,1349,3,35,24176.28,7.790259,15,2,0,66.47928,149.9483,0,1,1,0,0
8119,70199,1,22,16804.27,8.484101,11,2,0,58.08952,137.4392,0,0,0,1,0
2116,29360,4,41,6740.05,8.173993,11,2,0,19.72758,252.6378,0,0,1,0,0
6798,5870,3,87,19461.01,9.696417,6,0,0,54.47785,129.9621,0,0,1,0,0
417,20,10,44,100232.53,9.083448287,11,0,0,18.61278731,147.478341,0,0,0,1,0
2211,81789,0,40,51427.43,10.54611,8,1,0,6.840972,195.0062,0,1,0,1,0
8877,325,2,74,23288.67,15.27908,14,0,0,46.55186,137.4872,0,1,1,0,0
7184,92,6,75,25118.27,3.976308,11,0,0,47.95497,184.9715,0,1,1,0,0
7676,4818,2,35,28813.13,14.14138,17,0,1,71.81426,162.5119,0,0,0,1,0
1873,547,4,47,1753.08,11.76568434,12,1,0,2.384942381,252.62403,0,1,1,0,0
8755,2723,3,45,26449.68,9.343467,14,2,2,62.13428,267.6427,0,1,1,0,0
5069,2292,3,85,39894.55,11.46498,10,0,0,70.38153,104.9629,0,0,0,1,0
8966,7570,2,30,49645.28,7.969166,7,1,1,57.71425,114.9976,0,0,0,1,0
5745,4466,0,52,33425.04,6.580222,14,0,1,71.00882,187.4811,0,0,0,1,0
6898,86421,3,83,58718.7,8.750299,10,1,1,51.95478,167.4564,1,0,0,1,0
4214,12,2,60,25939.02,8.084497,12,1,0,11.59641,149.9598,0,0,0,1,0
4222,6254,0,76,48206.11,8.583463,13,0,0,4.192662,204.9634,0,0,0,1,0
3383,10501,3,87,25057.85,16.48878,14,2,0,2.543632,245.1283,1,0,0,1,0
4176,5736,0,82,29556.6,8.367848,12,0,0,9.102322,169.9741,0,0,0,1,0
1173,79276,3,85,18788.66,15.34353703,14,1,0,9.378558244,192.440432,0,0,1,0,0
